Name,YT Scope Project,
File,C:\Users\sakat\OneDrive\ドキュメント\pylib_sakata\experiment\data\time_resp_2mass_20230720.csv,
Starttime of export,133343080267770000,Thursday, July 20, 2023,15:27:06.777
Endtime of export,133343080377820000,Thursday, July 20, 2023,15:27:17.782


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject

0,0,0,0,0.00015703754035783889,0,0
0.125,0,0,0,0.00015710120327899806,0,0
0.25,7.8115234375000011E-08,-0.003814697265625,0.0038147753808593751,0.00019623236275958641,0,0
0.375,6.2484375E-07,0,6.2484375E-07,0.0001557220194455777,0,0
0.5,2.108583984375E-06,0.003814697265625,-0.003812588681640625,0.00011680419975647934,0,0
0.625,4.9975E-06,0,4.9975E-06,0.0001575360489389937,0,0
0.75,9.7595214843750009E-06,0.003814697265625,-0.003804937744140625,0.00011855286550485207,0,0
0.875,1.686234375E-05,-0.003814697265625,0.003831559609375,0.00019830292074764634,0,0
1,2.6773427734374998E-05,0,2.6773427734374998E-05,0.00015777784536044531,0,0
1.125,3.9960000000000004E-05,0.003814697265625,-0.003774737265625,0.0001188714085051262,0,0
1.25,5.6889052734375023E-05,-0.003814697265625,0.0038715863183593751,0.00019870977237209609,0,0
1.375,7.8027343750000053E-05,0,7.8027343750000053E-05,0.00015828416416680777,0,0
1.5,0.00010384139648437509,-0.003814697265625,0.0039185386621093752,0.00019762808203757748,0,0
1.625,0.00013479750000000015,0,0.00013479750000000015,0.00015737098334634597,0,0
1.75,0.0001713617089843752,0,0.0001713617089843752,0.00015781549960503408,0,0
1.875,0.00021399984375000024,0,0.00021399984375000024,0.0001583042619048461,0,0
2,0.00026317749023437536,0,0.00026317749023437536,0.00015884063051494572,0,0
2.125,0.00031936000000000047,-0.003814697265625,0.004134057265625,0.00019849791527421675,0,0
2.25,0.00038301249023437557,0.003814697265625,-0.0034316847753906245,0.00011949607157586112,0,0
2.375,0.00045459984375000067,0.00762939453125,-0.0071747946875,8.2710495766451193E-05,0,0
2.5,0.00053458670898437575,-0.003814697265625,0.0043492839746093756,0.00020368061112546992,0,0
2.625,0.00062343750000000094,0,0.00062343750000000094,0.000163758392511794,0,0
2.75,0.00072161639648437616,-0.003814697265625,0.0045363136621093762,0.00020363718679596843,0,0
2.875,0.00082958734375000135,0,0.00082958734375000135,0.00016394551592798827,0,0
3,0.0009478140527343766,0,0.0009478140527343766,0.00016498512975071821,0,0
3.125,0.0010767600000000019,0.00762939453125,-0.0065526345312499979,8.7957718728074829E-05,0,0
3.25,0.0012168884277343772,0,0.0012168884277343772,0.00017029215101954881,0,0
3.375,0.0013686623437500025,0.003814697265625,-0.0024460349218749975,0.00013232229146378289,0,0
3.5,0.0015325445214843779,0,0.0015325445214843779,0.00017408494024347167,0,0
3.625,0.0017089975000000033,-0.003814697265625,0.0055236947656250035,0.00021435279945277688,0,0
3.75,0.0018984835839843787,0,0.0018984835839843787,0.0001750752416165542,0,0
3.875,0.0021014648437500038,0,0.0021014648437500038,0.00017655323231789198,0,0
4,0.00231840311523438,-0.003814697265625,0.0061331003808593795,0.00021719788699054468,0,0
4.125,0.0025497600000000055,0,0.0025497600000000055,0.00017829794040224591,0,0
4.25,0.0027959968652343809,-0.003814697265625,0.0066106941308593809,0.00021922460677774129,0,0
4.375,0.0030575748437500065,-0.003814697265625,0.006872272109375006,0.00021967604113226478,0,0
4.5,0.0033349548339843818,-0.003814697265625,0.0071496520996093818,0.00022031050865525527,0,0
4.625,0.003628597500000007,0.003814697265625,-0.000186099765624993,0.0001429855403342331,0,0
4.75,0.0039389632714843838,0.003814697265625,0.00012426600585938377,0.00014698516313980459,0,0
4.875,0.0042665123437500094,-0.00762939453125,0.011895906875000009,0.00026820516571436225,0,0
5,0.0046117046777343854,0,0.0046117046777343854,0.00018958316949704867,0,0
5.125,0.0049750000000000107,0,0.0049750000000000107,0.00019238069676785503,0,0
5.25,0.0053568578027343864,0,0.0053568578027343864,0.00019527861057596062,0,0
5.375,0.0057577373437500126,-0.003814697265625,0.0095724346093750134,0.00023734945966792949,0,0
5.5,0.0061780976464843882,0,0.0061780976464843882,0.00019988254478387976,0,0
5.625,0.0066183975000000143,0.003814697265625,0.0028037002343750143,0.00016410951118312321,0,0
5.75,0.0070790954589843918,0.003814697265625,0.0032643981933593918,0.00016901521159779989,0,0
5.875,0.0075606498437500169,0,0.0075606498437500169,0.00021301604310038324,0,0
6,0.0080635187402343916,0,0.0080635187402343916,0.00021647580492371144,0,0
6.125,0.0085881600000000183,0,0.0085881600000000183,0.00022005731785305915,0,0
6.25,0.0091350312402343949,0,0.0091350312402343949,0.00022376254365269685,0,0
6.375,0.0097045898437500226,0,0.0097045898437500226,0.00022759342732803131,0,0
6.5,0.010297292958984398,0,0.010297292958984398,0.0002315518984416153,0,0
6.625,0.010913597500000025,-0.003814697265625,0.014728294765625025,0.00027470992729130504,0,0
6.75,0.011553960146484401,0,0.011553960146484401,0.00023835627100878991,0,0
6.875,0.012218837343750028,-0.003814697265625,0.016033534609375028,0.00028186217410852558,0,0
7,0.012908685302734407,0,0.012908685302734407,0.00024585577446627638,0,0
7.125,0.013623960000000032,0,0.013623960000000032,0.00025063847245204918,0,0
7.25,0.014365117177734409,-0.003814697265625,0.018179814443359407,0.00029462180662049079,0,0
7.375,0.015132612343750034,0,0.015132612343750034,0.00025909492380341373,0,0
7.5,0.015926900771484412,0,0.015926900771484412,0.000264359384878094,0,0
7.625,0.016748437500000039,0,0.016748437500000039,0.00026975682679739878,0,0
7.75,0.017597677333984416,0,0.017597677333984416,0.00027528968814204894,0,0
7.875,0.018475074843750043,0,0.018475074843750043,0.00028096037074761687,0,0
8,0.019381084365234415,0,0.019381084365234415,0.00028677124207201278,0,0
8.125,0.020316160000000041,-0.003814697265625,0.024130857265625041,0.00033179469236965011,0,0
8.25,0.021280755615234417,0.00762939453125,0.013651361083984417,0.00021917977186981981,0,0
8.375,0.022275324843750045,0.003814697265625,0.018460627578125045,0.00026758429251935679,0,0
8.5,0.023300321083984426,0,0.023300321083984426,0.00031446445597285114,0,0
8.625,0.024356197500000051,0.00762939453125,0.016726802968750051,0.00024270450466185511,0,0
8.75,0.025443407021484427,0.00762939453125,0.017814012490234427,0.00025225317634743061,0,0
8.875,0.026562402343750052,0,0.026562402343750052,0.00033993988430207437,0,0
9,0.027713635927734431,0.003814697265625,0.023898938662109431,0.00030741889442335694,0,0
9.125,0.028897560000000058,-0.00762939453125,0.036526954531250058,0.00043286592307909943,0,0
9.25,0.030114626552734437,0.003814697265625,0.026299929287109437,0.00031948616079199751,0,0
9.375,0.031365287343750069,0.00762939453125,0.023735892812500069,0.00028911272569944043,0,0
9.5,0.032649993896484451,0.003814697265625,0.028835296630859451,0.00033848206828972688,0,0
9.625,0.033969197500000076,0,0.033969197500000076,0.00038637056269441388,0,0
9.75,0.035323349208984452,0.003814697265625,0.031508651943359452,0.00035473108046753086,0,0
9.875,0.036712899843750084,0,0.036712899843750084,0.00040293797726021586,0,0
10,0.038138299990234457,0.003814697265625,0.034323602724609457,0.00037162234823393561,0,0
10.125,0.03960000000000008,0,0.03960000000000008,0.00042015846023564084,0,0
10.25,0.041098449990234466,0,0.041098449990234466,0.00042824738008889448,0,0
10.375,0.042634099843750085,0,0.042634099843750085,0.00043655015139475715,0,0
10.5,0.04420739920898447,0,0.04420739920898447,0.00044506706704517442,0,0
10.625,0.0458187975000001,0.003814697265625,0.0420041002343751,0.00041472845083138183,0,0
10.75,0.047468743896484471,-0.003814697265625,0.051283441162109471,0.00050331796335348063,0,0
10.875,0.0491576873437501,0.003814697265625,0.0453429900781251,0.00043275364361972785,0,0
11,0.050886076552734492,0.003814697265625,0.047071379287109492,0.00044363909001115192,0,0
11.125,0.052654360000000115,0.00762939453125,0.045024965468750115,0.00041558789388221866,0,0
11.25,0.0544629859277345,0.003814697265625,0.0506482886621095,0.00046731835081027708,0,0
11.375,0.05631240234375013,0.003814697265625,0.05249770507812513,0.00047853614414651856,0,0
11.5,0.0582030570214845,0.003814697265625,0.0543883597558595,0.0004899066942926786,0,0
11.625,0.060135397500000139,0.003814697265625,0.056320700234375139,0.00050143444385865484,0,0
11.75,0.062109871083984504,0,0.062109871083984504,0.00055219376111173763,0,0
11.875,0.064126924843750141,0,0.064126924843750141,0.00056254574706789844,0,0
12,0.066187005615234509,0.003814697265625,0.062372308349609509,0.000534080631768291,0,0
12.125,0.068290560000000153,0,0.068290560000000153,0.00058551114020905046,0,0
12.25,0.070438034365234534,0.003814697265625,0.066623337099609534,0.00055746762704630525,0,0
12.375,0.07262987484375015,-0.003814697265625,0.07644457210937515,0.00064839372022673192,0,0
