Name,YT Scope Project,
File,C:\Users\sakat\source\repos\pylib_sakata-main\experiment\data\time_resp_20250903.csv,
Starttime of export,134013004271418750,Wednesday, September 3, 2025,00:27:07.141
Endtime of export,134013004381457500,Wednesday, September 3, 2025,00:27:18.145


Name,RefPosUm[0],ActPosUm[0],RefVelMm[0],ActVelMm[0],ErrPosUm[0],ErrVelMm[0],ServoOutN[0],NoiseOut[0],ActForceN[0],FlagInject,FlagMoving[0],TargetTorque[0]

0,0,0,0,0.030517578125,0,0,0.0061788516110481131,0,0,0,0,30
0.125,0,-0.003814697265625,0,-0.030517578125,0.003814697265625,0,0.0062058786653918733,0,0,0,0,31
0.25,7.8115234375000011E-08,-0.003814697265625,1.8746874999999998E-06,0,0.0038147753808593751,0,0.0062033296618017441,0,0,0,2,31
0.375,6.2484375E-07,0,7.4975E-06,0.030517578125,6.2484375E-07,0,0.0061742836003792993,0,0,0,2,30
0.5,2.108583984375E-06,-0.00762939453125,1.6866562500000003E-05,-0.06103515625,0.0076315031152343754,0,0.0062287439311303821,0,0,0,2,31
0.625,4.9975E-06,0,2.998E-05,0.06103515625,4.9975E-06,0,0.0061703484174525248,0,0,0,2,30
0.75,9.7595214843750009E-06,0,4.68359375E-05,0,9.7595214843750009E-06,0,0.006171683157338387,0,0,0,2,30
0.875,1.686234375E-05,-0.003814697265625,6.7432500000000009E-05,-0.030517578125,0.003831559609375,0,0.00619969495206588,0,0,0,2,30
1,2.6773427734374998E-05,0.003814697265625,9.176781250000001E-05,0.06103515625,-0.0037879238378906248,0,0.0061443644401794652,0,0,0,2,30
1.125,3.9960000000000004E-05,0,0.00011984,-0.030517578125,3.9960000000000004E-05,0,0.0061752097395713305,0,0,0,2,30
1.25,5.6889052734375023E-05,0.003814697265625,0.00015164718750000004,0.030517578125,-0.0037578082128906249,0,0.0061491844341044089,0,0,0,2,30
1.375,7.8027343750000053E-05,0,0.0001871875000000001,-0.030517578125,7.8027343750000053E-05,0,0.0061794708265882643,0,0,0,2,30
