Name,YT Scope Project,
File,C:\Users\sakat\source\repos\pylib_sakata-main\experiment\data\time_resp_2mass_nf_pf_20250124.csv,
Starttime of export,133821769025185000,Friday, January 24, 2025,16:21:42.518
Endtime of export,133821769135275000,Friday, January 24, 2025,16:21:53.527


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject,FlagMotionExe

0,0,0.00762939453125,-0.00762939453125,0.00010714210596382956,0,0,0
0.125,0,0.00762939453125,-0.00762939453125,0.00011642685170246994,0,0,1
0.25,7.8115234375000011E-08,0,7.8115234375000011E-08,0.00016698912616483234,0,0,1
0.375,6.2484375E-07,0,6.2484375E-07,0.00016655692458201763,0,0,1
0.5,2.108583984375E-06,0,2.108583984375E-06,0.00016565017310853151,0,0,1
0.625,4.9975E-06,0,4.9975E-06,0.00016450138107174087,0,0,1
0.75,9.7595214843750009E-06,0.003814697265625,-0.003804937744140625,0.00014187988238975689,0,0,1
0.875,1.686234375E-05,0,1.686234375E-05,0.00016548159570914758,0,0,1
1,2.6773427734374998E-05,-0.003814697265625,0.0038414706933593752,0.00018559368723390518,0,0,1
1.125,3.9960000000000004E-05,-0.003814697265625,0.003854657265625,0.00018148377502849892,0,0,1
1.25,5.6889052734375023E-05,0.003814697265625,-0.0037578082128906249,0.00013563071679501587,0,0,1
1.375,7.8027343750000053E-05,-0.003814697265625,0.003892724609375,0.00018315127888038243,0,0,1
1.5,0.00010384139648437509,0,0.00010384139648437509,0.00015995153454523734,0,0,1
1.625,0.00013479750000000015,-0.003814697265625,0.0039494947656250005,0.00018385064881681193,0,0,1
1.75,0.0001713617089843752,0.00762939453125,-0.0074580328222656252,0.00011910629197172278,0,0,1
1.875,0.00021399984375000024,0,0.00021399984375000024,0.00017184606996129494,0,0,1
2,0.00026317749023437536,0,0.00026317749023437536,0.00017403554329895502,0,0,1
2.125,0.00031936000000000047,0.003814697265625,-0.0034953372656249997,0.00015442631325414979,0,0,1
2.25,0.00038301249023437557,-0.003814697265625,0.0041977097558593759,0.00020191738671339541,0,0,1
2.375,0.00045459984375000067,0,0.00045459984375000067,0.0001776708365430722,0,0,1
2.5,0.00053458670898437575,0.003814697265625,-0.0032801105566406244,0.00015678364818443329,0,0,1
2.625,0.00062343750000000094,0.003814697265625,-0.0031912597656249993,0.00016020314747353031,0,0,1
2.75,0.00072161639648437616,0.00762939453125,-0.0069077781347656238,0.00014127343474681572,0,0,1
2.875,0.00082958734375000135,0,0.00082958734375000135,0.0001889702551257743,0,0,1
3,0.0009478140527343766,0.003814697265625,-0.0028668832128906233,0.00016456149122031906,0,0,1
3.125,0.0010767600000000019,0.003814697265625,-0.0027379372656249979,0.00016471904658408765,0,0,1
3.25,0.0012168884277343772,0.003814697265625,-0.0025978088378906228,0.00016446765722214344,0,0,1
3.375,0.0013686623437500025,0.003814697265625,-0.0024460349218749975,0.00016399240987786706,0,0,1
3.5,0.0015325445214843779,0.003814697265625,-0.0022821527441406224,0.0001634742300938478,0,0,1
3.625,0.0017089975000000033,0,0.0017089975000000033,0.00018452768221926958,0,0,1
3.75,0.0018984835839843787,0,0.0018984835839843787,0.00018123528663262938,0,0,1
3.875,0.0021014648437500038,0.00762939453125,-0.0055279296874999962,0.000136056209079193,0,0,1
4,0.00231840311523438,0.011444091796875,-0.00912568868164062,0.0001197483589189962,0,0,1
4.125,0.0025497600000000055,0,0.0025497600000000055,0.00019218977821258606,0,0,1
4.25,0.0027959968652343809,0,0.0027959968652343809,0.00018976875973142105,0,0,1
4.375,0.0030575748437500065,0.003814697265625,-0.00075712242187499354,0.00016663926686286072,0,0,1
4.5,0.0033349548339843818,0.003814697265625,-0.00047974243164061823,0.00016893645952121018,0,0,1
4.625,0.003628597500000007,0,0.003628597500000007,0.00019285460162823186,0,0,1
4.75,0.0039389632714843838,0.003814697265625,0.00012426600585938377,0.00017077958409892672,0,0,1
4.875,0.0042665123437500094,0.003814697265625,0.00045181507812500944,0.00017392505452343412,0,0,1
5,0.0046117046777343854,0,0.0046117046777343854,0.0001984406542629863,0,0,1
5.125,0.0049750000000000107,0.003814697265625,0.0011603027343750107,0.00017669351441013275,0,0,1
5.25,0.0053568578027343864,-0.003814697265625,0.0091715550683593855,0.00022280704851795007,0,0,1
5.375,0.0057577373437500126,0.003814697265625,0.0019430400781250126,0.00017650077403584541,0,0,1
5.5,0.0061780976464843882,0,0.0061780976464843882,0.00020177528023261466,0,0,1
5.625,0.0066183975000000143,0,0.0066183975000000143,0.0002021090150353412,0,0,1
5.75,0.0070790954589843918,0,0.0070790954589843918,0.00020264210651557159,0,0,1
5.875,0.0075606498437500169,0,0.0075606498437500169,0.0002033538713323941,0,0,1
6,0.0080635187402343916,0.00762939453125,0.00043412420898439157,0.00016131000909068319,0,0,1
6.125,0.0085881600000000183,0.003814697265625,0.0047734627343750183,0.00019002728462227524,0,0,1
6.25,0.0091350312402343949,0,0.0091350312402343949,0.00021433425542508963,0,0,1
6.375,0.0097045898437500226,-0.003814697265625,0.013519287109375023,0.00023475516743510087,0,0,1
6.5,0.010297292958984398,-0.003814697265625,0.014111990224609398,0.00023054512854558772,0,0,1
6.625,0.010913597500000025,0.00762939453125,0.0032842029687500246,0.00016276069111066641,0,0,1
6.75,0.011553960146484401,0,0.011553960146484401,0.00021263364504071195,0,0,1
6.875,0.012218837343750028,0.003814697265625,0.0084041400781250282,0.0001908927496635423,0,0,1
7,0.012908685302734407,0.003814697265625,0.0090939880371094066,0.00019395639403142886,0,0,1
7.125,0.013623960000000032,0.00762939453125,0.0059945654687500322,0.00017515504312517788,0,0,1
7.25,0.014365117177734409,0.003814697265625,0.010550419912109409,0.00020196388846416611,0,0,1
7.375,0.015132612343750034,-0.003814697265625,0.018947309609375032,0.00024598167643257173,0,0,1
7.5,0.015926900771484412,0.003814697265625,0.012112203505859412,0.000197463812911339,0,0,1
7.625,0.016748437500000039,0.003814697265625,0.012933740234375039,0.0001991818912094574,0,0,1
7.75,0.017597677333984416,0,0.017597677333984416,0.00022230690785504835,0,0,1
7.875,0.018475074843750043,0,0.018475074843750043,0.00022080651648031196,0,0,1
8,0.019381084365234415,0,0.019381084365234415,0.00021996735795833827,0,0,1
8.125,0.020316160000000041,0.003814697265625,0.016501462734375041,0.00019841012901206418,0,0,1
8.25,0.021280755615234417,-0.003814697265625,0.025095452880859417,0.000245097899504312,0,0,1
8.375,0.022275324843750045,0.00762939453125,0.014645930312500045,0.00017825747970190179,0,0,1
8.5,0.023300321083984426,0.003814697265625,0.019485623818359426,0.00020787764361114339,0,0,1
8.625,0.024356197500000051,0.003814697265625,0.020541500234375051,0.00021209360066784351,0,0,1
8.75,0.025443407021484427,0.003814697265625,0.021628709755859427,0.00021591037568047865,0,0,1
8.875,0.026562402343750052,0,0.026562402343750052,0.00024068905476918033,0,0,1
9,0.027713635927734431,0.003814697265625,0.023898938662109431,0.00021889042437447191,0,0,1
9.125,0.028897560000000058,0.003814697265625,0.025082862734375058,0.00022184712501087617,0,0,1
9.25,0.030114626552734437,0.003814697265625,0.026299929287109437,0.00022440551793112266,0,0,1
9.375,0.031365287343750069,0.003814697265625,0.027550590078125069,0.00022659859716400127,0,0,1
9.5,0.032649993896484451,0.003814697265625,0.028835296630859451,0.00022849135632747468,0,0,1
9.625,0.033969197500000076,0.00762939453125,0.026339802968750076,0.00020872037316890934,0,0,1
9.75,0.035323349208984452,0.003814697265625,0.031508651943359452,0.00023489100591115875,0,0,1
9.875,0.036712899843750084,0.003814697265625,0.032898202578125084,0.00023579315996908305,0,0,1
10,0.038138299990234457,-0.003814697265625,0.041952997255859457,0.00027964812976470085,0,0,1
10.125,0.03960000000000008,0,0.03960000000000008,0.00025305759428292176,0,0,1
10.25,0.041098449990234466,0,0.041098449990234466,0.00025273618786051142,0,0,1
10.375,0.042634099843750085,0.003814697265625,0.038819402578125085,0.0002321692355670844,0,0,1
10.5,0.04420739920898447,0,0.04420739920898447,0.00025884899497642314,0,0,1
10.625,0.0458187975000001,0.00762939453125,0.0381894029687501,0.00021845995334087313,0,0,1
10.75,0.047468743896484471,0,0.047468743896484471,0.00027106132256443383,0,0,1
10.875,0.0491576873437501,0.00762939453125,0.0415282928125001,0.00023097227284001509,0,0,1
11,0.050886076552734492,0.003814697265625,0.047071379287109492,0.0002620020273190575,0,0,1
11.125,0.052654360000000115,0.00762939453125,0.045024965468750115,0.00024605619379273861,0,0,1
11.25,0.0544629859277345,0.003814697265625,0.0506482886621095,0.00027572994945356476,0,0,1
11.375,0.05631240234375013,0,0.05631240234375013,0.00030115923979231584,0,0,1
11.5,0.0582030570214845,0.00762939453125,0.0505736624902345,0.00025865606603464581,0,0,1
11.625,0.060135397500000139,0.003814697265625,0.056320700234375139,0.00028719797302536514,0,0,1
11.75,0.062109871083984504,0.003814697265625,0.058295173818359504,0.00029043315469504035,0,0,1
11.875,0.064126924843750141,0.003814697265625,0.060312227578125141,0.00029369779814649588,0,0,1
12,0.066187005615234509,0.00762939453125,0.058557611083984509,0.00027572308528893,0,0,1
12.125,0.068290560000000153,0.011444091796875,0.056846468203125153,0.0002612718780348159,0,0,1
12.25,0.070438034365234534,0.011444091796875,0.058993942568359534,0.0002712621911960395,0,0,1
12.375,0.07262987484375015,0.003814697265625,0.06881517757812515,0.00032337518830015876,0,0,1
12.5,0.074866527333984537,0.003814697265625,0.071051830068359537,0.00032552302446547146,0,0,1
12.625,0.07714843750000018,0.003814697265625,0.07333374023437518,0.00032833072772586893,0,0,1
12.75,0.079476050771484549,0.011444091796875,0.068031958974609549,0.00028915370723188894,0,0,1
12.875,0.081849812343750189,0.00762939453125,0.074220417812500189,0.00032172187773799575,0,0,1
13,0.084270167177734556,0.003814697265625,0.080455469912109556,0.00035099172866226848,0,0,1
13.125,0.086737560000000186,0.00762939453125,0.079108165468750186,0.00033462547080545096,0,0,1
13.25,0.089252435302734565,0.00762939453125,0.081623040771484565,0.00034394172895973427,0,0,1
13.375,0.091815237343750217,0,0.091815237343750217,0.00039661803750601414,0,0,1
13.5,0.094426410146484591,0,0.094426410146484591,0.00040046693517055231,0,0,1
13.625,0.097086397500000227,0.00762939453125,0.089457002968750227,0.00036303236310251036,0,0,1
13.75,0.099795642958984618,0.003814697265625,0.095980945693359618,0.00039789520576901288,0,0,1
