Name,YT Scope Project,
File,C:\Users\sakat\source\repos\pylib_sakata-main\experiment\data\time_resp_2mass_20250124.csv,
Starttime of export,133821680268426250,Friday, January 24, 2025,13:53:46.842
Endtime of export,133821680378500000,Friday, January 24, 2025,13:53:57.850


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject,FlagMotionExe

0,0,0.003814697265625,-0.003814697265625,0.00056541655994086538,0,0,0
0.125,0,0,0,0.00058621517276972145,0,0,1
0.25,7.8115234375000011E-08,0,7.8115234375000011E-08,0.00058613701924949764,0,0,1
0.375,6.2484375E-07,0.003814697265625,-0.003814072421875,0.00056582975211333234,0,0,1
0.5,2.108583984375E-06,0.003814697265625,-0.003812588681640625,0.000566382672224105,0,0,1
0.625,4.9975E-06,0.003814697265625,-0.003809699765625,0.000566918547510233,0,0,1
0.75,9.7595214843750009E-06,0,9.7595214843750009E-06,0.00058767555951353778,0,0,1
0.875,1.686234375E-05,0,1.686234375E-05,0.00058756985382227224,0,0,1
1,2.6773427734374998E-05,-0.003814697265625,0.0038414706933593752,0.00060771883034457937,0,0,1
1.125,3.9960000000000004E-05,0,3.9960000000000004E-05,0.0005868023839691787,0,0,1
1.25,5.6889052734375023E-05,-0.003814697265625,0.0038715863183593751,0.000607023646886734,0,0,1
1.375,7.8027343750000053E-05,0,7.8027343750000053E-05,0.000586181836138744,0,0,1
1.5,0.00010384139648437509,0,0.00010384139648437509,0.00058624514759906426,0,0,1
1.625,0.00013479750000000015,0.003814697265625,-0.003679899765625,0.00056609978963237926,0,0,1
1.75,0.0001713617089843752,0.003814697265625,-0.0036433355566406248,0.00056683448629408519,0,0,1
1.875,0.00021399984375000024,0,0.00021399984375000024,0.00058780634923675883,0,0,1
2,0.00026317749023437536,-0.003814697265625,0.0040778747558593755,0.00060816600278828928,0,0,1
2.125,0.00031936000000000047,-0.003814697265625,0.004134057265625,0.000607708524041306,0,0,1
2.25,0.00038301249023437557,0,0.00038301249023437557,0.00058707989380078036,0,0,1
2.375,0.00045459984375000067,0,0.00045459984375000067,0.0005873674039045154,0,0,1
2.5,0.00053458670898437575,0,0.00053458670898437575,0.000587691900032241,0,0,1
2.625,0.00062343750000000094,0,0.00062343750000000094,0.00058805482981332045,0,0,1
2.75,0.00072161639648437616,0.003814697265625,-0.0030930808691406238,0.0005682227153583953,0,0,1
2.875,0.00082958734375000135,0,0.00082958734375000135,0.00058951886986856588,0,0,1
3,0.0009478140527343766,0.003814697265625,-0.0028668832128906233,0.00056974329314802424,0,0,1
3.125,0.0010767600000000019,0,0.0010767600000000019,0.00059109982754993,0,0,1
3.25,0.0012168884277343772,-0.003814697265625,0.0050315856933593767,0.00061185816212761381,0,0,1
3.375,0.0013686623437500025,0.003814697265625,-0.0024460349218749975,0.0005713432974417741,0,0,1
3.5,0.0015325445214843779,0,0.0015325445214843779,0.0005928447920672882,0,0,1
3.625,0.0017089975000000033,0,0.0017089975000000033,0.00059351674718221886,0,0,1
3.75,0.0018984835839843787,0,0.0018984835839843787,0.00059424092774132767,0,0,1
3.875,0.0021014648437500038,0.003814697265625,-0.0017132324218749962,0.00057478355363863227,0,0,1
4,0.00231840311523438,-0.003814697265625,0.0061331003808593795,0.00061670254467002545,0,0,1
4.125,0.0025497600000000055,0,0.0025497600000000055,0.00059671059506972979,0,0,1
4.25,0.0027959968652343809,-0.003814697265625,0.0066106941308593809,0.00061789071958534927,0,0,1
4.375,0.0030575748437500065,-0.003814697265625,0.006872272109375006,0.00061827631354134974,0,0,1
4.5,0.0033349548339843818,-0.00762939453125,0.010964349365234383,0.00063898275392550424,0,0,1
4.625,0.003628597500000007,-0.00762939453125,0.011257992031250007,0.00063892289672475944,0,0,1
4.75,0.0039389632714843838,0,0.0039389632714843838,0.00059850631074653013,0,0,1
4.875,0.0042665123437500094,0,0.0042665123437500094,0.00059990586820198976,0,0,1
5,0.0046117046777343854,0.003814697265625,0.00079700741210938543,0.00058112669922134115,0,0,1
5.125,0.0049750000000000107,-0.003814697265625,0.00878969726562501,0.00062372689598230409,0,0,1
5.25,0.0053568578027343864,0,0.0053568578027343864,0.000604419319137053,0,0,1
5.375,0.0057577373437500126,0,0.0057577373437500126,0.00060605224935238536,0,0,1
5.5,0.0061780976464843882,0,0.0061780976464843882,0.00060774626799793086,0,0,1
5.625,0.0066183975000000143,0,0.0066183975000000143,0.00060950257298150387,0,0,1
5.75,0.0070790954589843918,0,0.0070790954589843918,0.00061132234544983679,0,0,1
5.875,0.0075606498437500169,-0.00762939453125,0.015190044375000017,0.00065367654020790592,0,0,1
6,0.0080635187402343916,0.003814697265625,0.0042488214746093916,0.00059368756140633328,0,0,1
6.125,0.0085881600000000183,-0.003814697265625,0.012402857265625018,0.00063684629543638829,0,0,1
6.25,0.0091350312402343949,0,0.0091350312402343949,0.00061810430651421165,0,0,1
6.375,0.0097045898437500226,0,0.0097045898437500226,0.0006203098495674254,0,0,1
6.5,0.010297292958984398,-0.003814697265625,0.014111990224609398,0.00064281837723912435,0,0,1
6.625,0.010913597500000025,0,0.010913597500000025,0.000624309140458648,0,0,1
6.75,0.011553960146484401,-0.003814697265625,0.015368657412109401,0.00064698466091758756,0,0,1
6.875,0.012218837343750028,0,0.012218837343750028,0.00062864357720630285,0,0,1
7,0.012908685302734407,0,0.012908685302734407,0.00063125353744253874,0,0,1
7.125,0.013623960000000032,0.003814697265625,0.0098092627343750322,0.00061370023163395421,0,0,1
7.25,0.014365117177734409,0,0.014365117177734409,0.000637306788421894,0,0,1
7.375,0.015132612343750034,0.003814697265625,0.011317915078125034,0.00061987303584332793,0,0,1
7.5,0.015926900771484412,0.00762939453125,0.0082975062402344119,0.000603132867164755,0,0,1
7.625,0.016748437500000039,0,0.016748437500000039,0.00064776478006980552,0,0,1
7.75,0.017597677333984416,0,0.017597677333984416,0.00065071752876413565,0,0,1
7.875,0.018475074843750043,0.003814697265625,0.014660377578125043,0.00063351842788143277,0,0,1
8,0.019381084365234415,0.003814697265625,0.015566387099609415,0.00063725544590104708,0,0,1
8.125,0.020316160000000041,0,0.020316160000000041,0.00066128497789266143,0,0,1
8.25,0.021280755615234417,0.003814697265625,0.017466058349609417,0.00064428717937807783,0,0,1
8.375,0.022275324843750045,0.003814697265625,0.018460627578125045,0.00064823054561390374,0,0,1
8.5,0.023300321083984426,0.003814697265625,0.019485623818359426,0.00065223647442314047,0,0,1
8.625,0.024356197500000051,0,0.024356197500000051,0.00067654184398931714,0,0,1
8.75,0.025443407021484427,0,0.025443407021484427,0.00068006156047408786,0,0,1
8.875,0.026562402343750052,0,0.026562402343750052,0.00068367695080853686,0,0,1
9,0.027713635927734431,0,0.027713635927734431,0.00068738871594068156,0,0,1
9.125,0.028897560000000058,0.003814697265625,0.025082862734375058,0.00067096267003128511,0,0,1
9.25,0.030114626552734437,0.003814697265625,0.026299929287109437,0.00067548656064289451,0,0,1
9.375,0.031365287343750069,0.00762939453125,0.023735892812500069,0.00065984678307132053,0,0,1
9.5,0.032649993896484451,0,0.032649993896484451,0.000705602038881106,0,0,1
9.625,0.033969197500000076,0.003814697265625,0.030154500234375076,0.00068946577742427925,0,0,1
9.75,0.035323349208984452,0.003814697265625,0.031508651943359452,0.00069428684824872323,0,0,1
9.875,0.036712899843750084,0.003814697265625,0.032898202578125084,0.00069918638261802989,0,0,1
10,0.038138299990234457,0.00762939453125,0.030508905458984457,0.00068393121535821632,0,0,1
10.125,0.03960000000000008,0.003814697265625,0.03578530273437508,0.00070984496749170053,0,0,1
10.25,0.041098449990234466,0.003814697265625,0.037283752724609466,0.00071496283673659589,0,0,1
10.375,0.042634099843750085,0.00762939453125,0.035004705312500085,0.000699932143690083,0,0,1
10.5,0.04420739920898447,0.00762939453125,0.03657800467773447,0.000705841472844488,0,0,1
10.625,0.0458187975000001,0.003814697265625,0.0420041002343751,0.00073204781216112665,0,0,1
