Name,YT Scope Project,
File,C:\Users\sakat\source\repos\pylib_sakata-main\experiment\data\time_resp_2mass_20250902.csv,
Starttime of export,134012597811200000,Tuesday, September 2, 2025,13:09:41.120
Endtime of export,134012597921238750,Tuesday, September 2, 2025,13:09:52.123


Name,RefPosUm[0],ActPosUm[0],RefVelMm[0],ActVelMm[0],ErrPosUm[0],ErrVelMm[0],ServoOutN[0],NoiseOut[0],ActForceN[0],FlagInject,FlagMoving[0],TargetTorque[0]

0,0,0,0,0.030517578125,0,0,0.00021644307756471781,0,-0.0002,0,0,1
0.125,0,0,0,0,0,0,0.00021660875440244278,0,0.0012,0,0,1
0.25,7.8115234375000011E-08,0,1.8746874999999998E-06,0,7.8115234375000011E-08,0,0.0002167654768128233,0,0.0002,0,2,1
0.375,6.2484375E-07,0.003814697265625,7.4975E-06,0.030517578125,-0.003814072421875,0,0.00017934722996004179,0,0.0002,0,2,0
0.5,2.108583984375E-06,0,1.6866562500000003E-05,-0.030517578125,2.108583984375E-06,0,0.00021880806671265425,0,0,0,2,1
0.625,4.9975E-06,0,2.998E-05,0,4.9975E-06,0,0.00021886127014836382,0,0,0,2,1
0.75,9.7595214843750009E-06,0,4.68359375E-05,0,9.7595214843750009E-06,0,0.00021893015402813136,0,0,0,2,1
0.875,1.686234375E-05,0.003814697265625,6.7432500000000009E-05,0.030517578125,-0.003797834921875,0,0.00018144823957732495,0,0.0002,0,2,0
1,2.6773427734374998E-05,-0.003814697265625,9.176781250000001E-05,-0.06103515625,0.0038414706933593752,0,0.00025843877989584972,0,0.0014,0,2,1
1.125,3.9960000000000004E-05,-0.003814697265625,0.00011984,0,0.003854657265625,0,0.00025673521568928567,0,0.0006,0,2,1
1.25,5.6889052734375023E-05,0.003814697265625,0.00015164718750000004,0.06103515625,-0.0037578082128906249,0,0.00018003171500490618,0,0.0006,0,2,0
1.375,7.8027343750000053E-05,0,0.0001871875000000001,-0.030517578125,7.8027343750000053E-05,0,0.00021965290617390881,0,-0.0002,0,2,1
1.5,0.00010384139648437509,0.003814697265625,0.00022645906250000011,0.030517578125,-0.0037108558691406248,0,0.00018232131014230167,0,-0.0002,0,2,0
1.625,0.00013479750000000015,0,0.00026946000000000023,-0.030517578125,0.00013479750000000015,0,0.0002219082696226907,0,0,0,2,1
1.75,0.0001713617089843752,0,0.00031618843750000022,0,0.0001713617089843752,0,0.00022212526095643259,0,0.0002,0,2,1
1.875,0.00021399984375000024,0.003814697265625,0.00036664250000000026,0.030517578125,-0.0036006974218749997,0,0.00018482350366779243,0,-0.0002,0,2,0
2,0.00026317749023437536,0,0.00042082031250000035,-0.030517578125,0.00026317749023437536,0,0.0002244544324308704,0,-0.0002,0,2,1
