Name,YT Scope Project,
File,C:\Users\sakat\OneDrive\ドキュメント\pylib_sakata\experiment\data\time_resp_2mass_nf_20230720.csv,
Starttime of export,133343081085045000,Thursday, July 20, 2023,15:28:28.504
Endtime of export,133343081195137500,Thursday, July 20, 2023,15:28:39.513


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject

0,100000,100000,0,0.0013943041288150256,0,0
0.125,100000,99999.996185302734,0.003814697265625,0.0014328741975842164,0,0
0.25,100000.00000007812,100000,7.811468094587326E-08,0.0013920143212512639,0,0
0.375,100000.00000062485,100000,6.2484468799084425E-07,0.001393496329630401,0,0
0.5,100000.00000210859,100000.00381469727,-0.0038125886785564944,0.0013573975203606224,0,0
0.625,100000.00000499751,100000,4.9975060392171144E-06,0.0014005565213200692,0,0
0.75,100000.00000975952,99999.996185302734,0.0038244567840592936,0.0014386783052878713,0,0
0.875,100000.00001686234,99999.996185302734,0.00383155960298609,0.0014347841050805182,0,0
1,100000.00002677343,99999.996185302734,0.0038414706941694021,0.0014313239289465078,0,0
1.125,100000.00003996,100000,3.9959995774552226E-05,0.00139084193378879,0,0
1.25,100000.00005688905,100000.00381469727,-0.0037578082119580358,0.0013552127600843936,0,0
1.375,100000.00007802734,99999.996185302734,0.0038927246059756726,0.0014364113647980879,0,0
1.5,100000.00010384139,100000,0.00010384139022789896,0.0013957356783443548,0,0
1.625,100000.00013479751,100000.00381469727,-0.003679899760754779,0.0013598115804505722,0,0
1.75,100000.00017136171,99999.996185302734,0.0039860589749878272,0.0014406363658856004,0,0
1.875,100000.00021399984,99999.996185302734,0.0040286971052410081,0.0014370515239293677,0,0
2,100000.00026317748,100000,0.0002631774841574952,0.0013963561295881825,0,0
2.125,100000.00031936,100000.00381469727,-0.0034953372669406235,0.0013604505651197657,0,0
2.25,100000.00038301249,99999.996185302734,0.004197709757136181,0.0014413371777167853,0,0
2.375,100000.00045459984,100000,0.00045459983812179416,0.0014003416326541314,0,0
2.5,100000.00053458671,100000,0.00053458671027328819,0.0014016358411818744,0,0
2.625,100000.0006234375,100000,0.000623437503236346,0.0014028516357926012,0,0
2.75,100000.00072161639,99999.996185302734,0.0045363136596279219,0.0014415114584700368,0,0
2.875,100000.00082958734,100000.00381469727,-0.002985109924338758,0.001363233150493984,0,0
